CODE;LABEL FR;LABEL NL;LABEL EN;CODE CPV;Intitulé CPV FR;Intitulé CPV ENG;Intitulé CPV NL
PO01011100;CHEVAL REPRODUCTEUR;FOKPAARD;HORSE FOR BREEDING;03322300-5;Chevaux;Horses;Paarden
PO01011900;CHEVAL DE BOUCHERIE;SLACHTPAARD;HORSE FOR SLAUGHTERING;03322300-5;Chevaux;Horses;Paarden
PO01011901;PONEY;PONY;PONY;03322300-5;Chevaux;Horses;Paarden
PO01011902;CHEVAL DE SELLE;ZADELPAARD;SADDLE-HORSE;03322300-5;Chevaux;Horses;Paarden
PO01011903;CHEVAL DE TRAIT;TREKPAARD;DRAUGHT-HORSE;03322300-5;Chevaux;Horses;Paarden
PO01012000;ANE;EZEL;DONKEY;03322300-5;Chevaux;Horses;Paarden
PO01012001;MULET;MUILDIER;MULE;03322300-5;Chevaux;Horses;Paarden
PO01012002;BARDOT;MUILEZEL;PACK-MULE;03322300-5;Chevaux;Horses;Paarden
PO01021000;BOVIDE REPRODUCTEUR,VACHE/TAUREAU;FOKRUND,KOE/STIER;BOVID FOR BREEDING,COW/BULL;03321100-6;Bovins;Bovine cattle;Rundvee
PO01029000;VEAU,BOVIDE;KALF,RUND;CALF,BOVID;03321100-6;Bovins;Bovine cattle;Rundvee
PO01029001;TAURILLON(BOUVILLON),BOVIDE;STIER(OS),JONG RUND;BULL-CALF(STEER),BOVID;03321100-6;Bovins;Bovine cattle;Rundvee
PO01029002;GENISSE,BOVIDE;VAARS,RUND;HEIFER,BOVID;03321100-6;Bovins;Bovine cattle;Rundvee
PO01029003;TAUREAU DE BOUCHERIE,BOVIDE;SLACHTSTIER,RUND;BULL FOR SLAUGHTERING,BOVID;03321100-6;Bovins;Bovine cattle;Rundvee
PO01029004;VACHE DE BOUCHERIE,BOVIDE;SLACHTKOE,RUND;COW FOR SLAUGHTERING,BOVID;03321100-6;Bovins;Bovine cattle;Rundvee
PO01029005;VACHE LAITIERE,BOVIDE;MELKKOE,RUND;MILCH-COW,BOVID;03321100-6;Bovins;Bovine cattle;Rundvee
PO01029006;BOEUF DE BOUCHERIE,BOVIDE;SLACHTOS,RUND;OX FOR SLAUGHTERING,BOVID;03321100-6;Bovins;Bovine cattle;Rundvee
PO01031000;PORC REPRODUCTEUR;FOKVARKEN;PIG FOR BREEDING;03323000-9;Suidés;Pigs;Varkens
PO01039100;PORCELET;VARKEN,JONG(BIG);PIGLET;03323000-9;Suidés;Pigs;Varkens
PO01039201;PORC DE BOUCHERIE;SLACHTVARKEN;PIG FOR SLAUGHTERING;03323000-9;Suidés;Pigs;Varkens
PO01039202;SANGLIER;EVERZWIJN;WILD BOAR;03323000-9;Suidés;Pigs;Varkens
PO01041000;OVIN,MOUTON/BELIER,REPRODUCTEUR;FOKSCHAAP;SHEEP FOR BREEDING;03322100-3;Moutons;Sheep;Schapen
PO01041001;OVIN,MOUTON/BELIER,NON REPRODUCTEUR;SCHAAP,GEEN FOKDIER;SHEEP,NOT FOR BREEDING;03322100-3;Moutons;Sheep;Schapen
PO01042000;CAPRIN,BOUC/CHEVRE,REPRODUCTEUR;FOKGEIT;GOAT,FOR BREEDING;03322200-4;Chèvres;Goats;Geiten
PO01042001;CAPRIN,BOUC/CHEVRE,NON REPRODUCTEUR;GEIT,GEEN FOKDIER;GOAT,NOT FOR BREEDING;03322200-4;Chèvres;Goats;Geiten
PO01051101;DINDE,POUSSIN D'UN JOUR;KALKOEN,EENDAGSKUIKEN;TURKEY,CHICK ONE DAY OLD;15112120-3;Dindes;Turkeys;Kalkoenen
PO01051102;PINTADE,POUSSIN D'UN JOUR;PARELHOEN,EENDAGSKUIKEN;GUINEA-FOWL,CHICK ONE DAY OLD;15112130-6;Poulets;Chickens;Kippen
